?cls	?replCls	?consCls
<http://www.ebi.ac.uk/efo/EFO_0006905>	"OBA:2040071"	
<http://www.ebi.ac.uk/efo/EFO_0006923>	"http://purl.obolibrary.org/obo/OBA_VT0010464"	
<http://www.ebi.ac.uk/efo/EFO_0006930>	"http://purl.obolibrary.org/obo/OBA_2050009"	
<http://www.ebi.ac.uk/efo/EFO_0006931>	"http://purl.obolibrary.org/obo/OBA_2050020"	
<http://www.ebi.ac.uk/efo/EFO_0006932>	"http://purl.obolibrary.org/obo/OBA_2050016"	
<http://www.ebi.ac.uk/efo/EFO_0006933>	"http://purl.obolibrary.org/obo/OBA_2050027"	
<http://www.ebi.ac.uk/efo/EFO_0006934>	"http://purl.obolibrary.org/obo/OBA_2050034"	
<http://www.ebi.ac.uk/efo/EFO_0006936>	"http://purl.obolibrary.org/obo/OBA_1000929"	
<http://www.ebi.ac.uk/efo/EFO_0006937>	"http://purl.obolibrary.org/obo/OBA_2045264"	
<http://www.ebi.ac.uk/efo/EFO_0006940>	"http://purl.obolibrary.org/obo/OBA_2045265"	
<http://www.ebi.ac.uk/efo/EFO_0006942>	"http://purl.obolibrary.org/obo/OBA_2045282"	
<http://www.ebi.ac.uk/efo/EFO_0006950>	"OBA:2040024"	
<http://www.ebi.ac.uk/efo/EFO_0006954>	"OBA:2040119"	
<http://www.ebi.ac.uk/efo/EFO_0006996>	"OBA:2040115"	
<http://www.ebi.ac.uk/efo/EFO_0006998>	"OBA:2040101"	
<http://www.ebi.ac.uk/efo/EFO_0007009>	"http://purl.obolibrary.org/obo/OBA_VT0002095"	
<http://www.ebi.ac.uk/efo/EFO_0007021>	"http://purl.obolibrary.org/obo/OBA_2045212"	
<http://www.ebi.ac.uk/efo/EFO_0007040>	"http://purl.obolibrary.org/obo/OBA_2050087"	
<http://www.ebi.ac.uk/efo/EFO_0007052>	"http://purl.obolibrary.org/obo/OBA_1000278"	
<http://www.ebi.ac.uk/efo/EFO_0007117>	"http://purl.obolibrary.org/obo/OBA_2050108"	
<http://www.ebi.ac.uk/efo/EFO_0007575>	"http://purl.obolibrary.org/obo/OBA_2050063"	
<http://www.ebi.ac.uk/efo/EFO_0007576>	"http://purl.obolibrary.org/obo/OBA_2050067"	
<http://www.ebi.ac.uk/efo/EFO_0007577>	"http://purl.obolibrary.org/obo/OBA_2050077"	
<http://www.ebi.ac.uk/efo/EFO_0007579>	"http://purl.obolibrary.org/obo/OBA_2050054"	
<http://www.ebi.ac.uk/efo/EFO_0007580>	"http://purl.obolibrary.org/obo/OBA_2050088"	
<http://www.ebi.ac.uk/efo/EFO_0007581>	"http://purl.obolibrary.org/obo/OBA_2050061"	
<http://www.ebi.ac.uk/efo/EFO_0007582>	"http://purl.obolibrary.org/obo/OBA_2050066"	
<http://www.ebi.ac.uk/efo/EFO_0007583>	"http://purl.obolibrary.org/obo/OBA_2050064"	
<http://www.ebi.ac.uk/efo/EFO_0007584>	"http://purl.obolibrary.org/obo/OBA_2050072"	
<http://www.ebi.ac.uk/efo/EFO_0007592>	"OBA:2040015"	
<http://www.ebi.ac.uk/efo/EFO_0007612>	"OBA:2040086"	
<http://www.ebi.ac.uk/efo/EFO_0007615>	"http://purl.obolibrary.org/obo/OBA_2045225"	
<http://www.ebi.ac.uk/efo/EFO_0007616>	"http://purl.obolibrary.org/obo/OBA_2045262"	
<http://www.ebi.ac.uk/efo/EFO_0007617>	"http://purl.obolibrary.org/obo/OBA_VT0002104"	
<http://www.ebi.ac.uk/efo/EFO_0007618>	"http://purl.obolibrary.org/obo/OBA_2045234"	
<http://www.ebi.ac.uk/efo/EFO_0007647>	"OBA:2040021"	
<http://www.ebi.ac.uk/efo/EFO_0007661>	"OBA:2040104"	
<http://www.ebi.ac.uk/efo/EFO_0007662>	"OBA:2040140"	
<http://www.ebi.ac.uk/efo/EFO_0007663>	"http://purl.obolibrary.org/obo/OBA_1000376"	
<http://www.ebi.ac.uk/efo/EFO_0007676>	"OBA:2040001"	
<http://www.ebi.ac.uk/efo/EFO_0007680>	"http://purl.obolibrary.org/obo/OBA_1000869"	
<http://www.ebi.ac.uk/efo/EFO_0007699>	"http://purl.obolibrary.org/obo/OBA_1000197"	
<http://www.ebi.ac.uk/efo/EFO_0007718>	"http://purl.obolibrary.org/obo/OBA_2045278"	
<http://www.ebi.ac.uk/efo/EFO_0007719>	"http://purl.obolibrary.org/obo/OBA_2045226"	
<http://www.ebi.ac.uk/efo/EFO_0007720>	"http://purl.obolibrary.org/obo/OBA_2045226"	
<http://www.ebi.ac.uk/efo/EFO_0007722>	"http://purl.obolibrary.org/obo/OBA_2045266"	
<http://www.ebi.ac.uk/efo/EFO_0007724>	"http://purl.obolibrary.org/obo/OBA_2045254"	
