ID	OBSOLETE	REPLACED BY	OBSOLETED IN VERSION	REASON FOR OBSOLETION
http://www.orpha.net/ORDO/Orphanet_102015	true	http://purl.obolibrary.org/obo/MONDO_0015152	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015152
http://www.orpha.net/ORDO/Orphanet_1439	true	http://purl.obolibrary.org/obo/MONDO_0015432	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015432
http://www.orpha.net/ORDO/Orphanet_98687	true	http://purl.obolibrary.org/obo/MONDO_0020257	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0020257
http://www.orpha.net/ORDO/Orphanet_1240	true	http://purl.obolibrary.org/obo/MONDO_0009592	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009592
http://www.orpha.net/ORDO/Orphanet_329336	true	http://purl.obolibrary.org/obo/MONDO_0018002	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018002
http://www.orpha.net/ORDO/Orphanet_268392	true	http://purl.obolibrary.org/obo/MONDO_0017066	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017066
http://www.orpha.net/ORDO/Orphanet_3289	true	http://purl.obolibrary.org/obo/MONDO_0010098	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010098
http://www.orpha.net/ORDO/Orphanet_3080	true	http://purl.obolibrary.org/obo/MONDO_0010203	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010203
http://www.orpha.net/ORDO/Orphanet_352596	true	http://purl.obolibrary.org/obo/MONDO_0018126	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018126
http://www.orpha.net/ORDO/Orphanet_3219	true	http://purl.obolibrary.org/obo/MONDO_0009241	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009241
http://www.orpha.net/ORDO/Orphanet_1125	true	http://purl.obolibrary.org/obo/MONDO_0009764	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009764
http://www.orpha.net/ORDO/Orphanet_295146	true	http://purl.obolibrary.org/obo/MONDO_0017524	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017524
http://www.orpha.net/ORDO/Orphanet_163662	true	http://purl.obolibrary.org/obo/MONDO_0010902	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010902
http://www.orpha.net/ORDO/Orphanet_295110	true	http://purl.obolibrary.org/obo/MONDO_0017506	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017506
http://www.orpha.net/ORDO/Orphanet_1670	true	http://purl.obolibrary.org/obo/MONDO_0010786	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010786
http://www.orpha.net/ORDO/Orphanet_314802	true	http://purl.obolibrary.org/obo/MONDO_0011420	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011420
http://www.orpha.net/ORDO/Orphanet_369902	true	http://purl.obolibrary.org/obo/MONDO_0014413	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0014413
http://www.orpha.net/ORDO/Orphanet_221145	true	http://purl.obolibrary.org/obo/MONDO_0013170	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0013170
http://www.orpha.net/ORDO/Orphanet_1522	true	http://purl.obolibrary.org/obo/MONDO_0015465	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015465
http://www.orpha.net/ORDO/Orphanet_2913	true	http://purl.obolibrary.org/obo/MONDO_0021003	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0021003
http://www.orpha.net/ORDO/Orphanet_309458	true	http://purl.obolibrary.org/obo/MONDO_0017743	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017743
