label	ID	parent_term
AMBP/CAPG protein level ratio in blood	OBA_2054309	protein measurement (EFO_0004747)
AMBP/EFEMP1 protein level ratio in blood	OBA_2054310	protein measurement (EFO_0004747)
AMBP/HAVCR1 protein level ratio in blood	OBA_2054261	protein measurement (EFO_0004747)
AMBP/HYOU1 protein level ratio in blood	OBA_2054262	protein measurement (EFO_0004747)
AMBP/RARRES2 protein level ratio in blood	OBA_2054263	protein measurement (EFO_0004747)
AMFR/PSRC1 protein level ratio in blood	OBA_2054264	protein measurement (EFO_0004747)
AMSH-like protease measurement	EFO_0802274	protein measurement (EFO_0004747)
ANG/CCL18 protein level ratio in blood	OBA_2054265	protein measurement (EFO_0004747)
ANG/F9 protein level ratio in blood	OBA_2054266	protein measurement (EFO_0004747)
ANG/RARRES2 protein level ratio in blood	OBA_2054278	protein measurement (EFO_0004747)
ANGPT1/APP protein level ratio in blood	OBA_2054267	protein measurement (EFO_0004747)
ANGPT1/CCN2 protein level ratio in blood	OBA_2054268	protein measurement (EFO_0004747)
ANGPT1/CPXM1 protein level ratio in blood	OBA_2054269	protein measurement (EFO_0004747)
ANGPT1/DKK1 protein level ratio in blood	OBA_2054270	protein measurement (EFO_0004747)
ANGPT1/EGF protein level ratio in blood	OBA_2054271	protein measurement (EFO_0004747)
ANGPT1/MPIG6B protein level ratio in blood	OBA_2054272	protein measurement (EFO_0004747)
ANGPT1/PDGFA protein level ratio in blood	OBA_2054273	protein measurement (EFO_0004747)
ANGPT1/PDGFB protein level ratio in blood	OBA_2054274	protein measurement (EFO_0004747)
ANGPT1/PTPN6 protein level ratio in blood	OBA_2054275	protein measurement (EFO_0004747)
ANGPT1/SERPINE1 protein level ratio in blood	OBA_2054276	protein measurement (EFO_0004747)
ANGPTL3/TFPI protein level ratio in blood	OBA_2054277	protein measurement (EFO_0004747)
ANGPTL8 measurement	EFO_0020861	protein measurement (EFO_0004747)
ANPEP/CXADR protein level ratio in blood	OBA_2054279	protein measurement (EFO_0004747)
ANPEP/DPP4 protein level ratio in blood	OBA_2054280	protein measurement (EFO_0004747)
ANPEP/NT5E protein level ratio in blood	OBA_2054281	protein measurement (EFO_0004747)
