?child	?label	?parents	?parentlabels
<http://purl.obolibrary.org/obo/OBA_2042908>	"level of serine/threonine-protein kinase N2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042514>	"level of arylamine N-acetyltransferase 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040054>	"trait in response to taxane"	"http://purl.obolibrary.org/obo/GO_0050896"	"response to stimulus"
<http://purl.obolibrary.org/obo/OBA_2043840>	"level of protein-glutamine gamma-glutamyltransferase 4 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050571>	"level of catechol O-methyltransferase in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043245>	"level of E3 ubiquitin-protein ligase rififylin in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052496>	"amount of legumain (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2055608>	"EGFR/MEGF9 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2054712>	"CCL5/DKK1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2052948>	"amount of enteropeptidase (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044276>	"level of cytospin-B in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2054424>	"IL18BP/PILRA protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2040786>	"level of cholinesterase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050531"	"level of cholinesterase in blood"
<http://purl.obolibrary.org/obo/OBA_2055698>	"SOST/SPP1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2053434>	"GP6/YES1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2045224>	"visceral adipose tissue quantity"	"http://purl.obolibrary.org/obo/OBA_VT0005452"	"adipose amount"
<http://purl.obolibrary.org/obo/OBA_2041774>	"level of protein GPR107 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2055215>	"FCGR2A/FCGR2B protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2054603>	"CR2/MYOC protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2052640>	"amount of integrin alpha-5 (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052497>	"amount of phospholysine phosphohistidine inorganic pyrophosphate phosphatase (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2051504"	"level of phospholysine phosphohistidine inorganic pyrophosphate phosphatase in blood"
<http://purl.obolibrary.org/obo/OBA_2053403>	"CDC37/MSRA protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2051135>	"level of 5-hydroxytryptamine receptor 1B in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042135>	"level of importin subunit alpha-7 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042142>	"level of keratin, type I cytoskeletal 20 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042034>	"level of insulin-like 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050130"	"insulin-like protein amount"
<http://purl.obolibrary.org/obo/OBA_2050384>	"level of (R)-oleoylcarnitine in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043369>	"level of protein S100-A8 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042140>	"level of keratin, type I cytoskeletal 17 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044887>	"level of uncharacterized protein C19orf84 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2055416>	"F7/F9 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2050415>	"level of indole-3-butyric acid in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2054906>	"CNPY4/STAT5B protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2054925>	"LGALS8/SOD2 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2051237>	"level of autophagy-related protein 16-1 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050857>	"level of securin in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051493>	"level of kallikrein-1 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2054331>	"APBB1IP/NCF2 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
