?child	?label	?parents	?parentlabels
<http://purl.obolibrary.org/obo/OBA_2041612>	"level of forkhead box protein O4 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041516>	"level of ethanolamine kinase 2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2045102>	"level of Phosphatidylcholine (18:1_20:2) in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043897>	"level of Toll-interacting protein in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043133>	"level of nicotinate-nucleotide pyrophosphorylase [carboxylating] in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040282>	"level of interleukin-16 in blood serum"	"http://purl.obolibrary.org/obo/OBA_VT0008631"	"blood interleukin-16 amount"
<http://purl.obolibrary.org/obo/OBA_2051939>	"level of butyrophilin-like protein 10 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2045007>	"level of serpin A12 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2051081"	"level of serpin A12 in blood"
<http://purl.obolibrary.org/obo/OBA_2044119>	"level of vesicle transport through interaction with t-SNAREs homolog 1B in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041859>	"level of homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042870>	"level of membrane-associated progesterone receptor component 2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044785>	"level of ATP-dependent RNA helicase DHX58 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043906>	"level of tumor protein 63 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050491>	"level of succinate-semialdehyde dehydrogenase, mitochondrial in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041599>	"level of formin-binding protein 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042103>	"level of killer cell immunoglobulin-like receptor 2DL1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052750>	"amount of serpin B9 (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2050896"	"level of serpin B9 in blood"
<http://purl.obolibrary.org/obo/OBA_2050664>	"level of glutaredoxin-related protein 5 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
