?child	?label
<http://www.ebi.ac.uk/efo/EFO_0008470>	"dietary potassium intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020086>	"dietary carotene intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0010811>	"carbohydrate intake measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0800000>	"folate intake measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0020088>	"dietary fiber intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0010809>	"fat intake measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009374>	"energy intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0010810>	"protein intake measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0020091>	"dietary phosphorus intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020089>	"dietary vitamin E intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0006521>	"calcium intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0010158>	"sugar consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0020897>	"citrus intake measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0008539>	"vitamin D dietary intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020081>	"dietary niacin intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020083>	"dietary zinc intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0008355>	"dietary heme iron intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020077>	"dietary vitamin A intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020078>	"dietary vitamin B1 intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0007675>	"metastasis measurement"
<http://www.ebi.ac.uk/efo/EFO_0007836>	"coenzyme Q10 measurement"
<http://www.ebi.ac.uk/efo/EFO_0008386>	"body odor measurement"
<http://www.ebi.ac.uk/efo/EFO_0009814>	"number of children fathered measurement"
<http://www.ebi.ac.uk/efo/EFO_0004297>	"clinical laboratory measurement"
<http://www.ebi.ac.uk/efo/EFO_0004641>	"white matter integrity"
<http://www.ebi.ac.uk/efo/EFO_0021500>	"cortex volume change measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0008332>	"interleukin 2 receptor antagonist measurement"
<http://www.ebi.ac.uk/efo/EFO_0004815>	"alpha macroglobulin measurement"
<http://www.ebi.ac.uk/efo/EFO_0006922>	"delivery measurement"
<http://www.ebi.ac.uk/efo/EFO_0005057>	"myoglobin measurement"
<http://www.ebi.ac.uk/efo/EFO_0803351>	"partial pressure of oxygen measurement"
<http://www.ebi.ac.uk/efo/EFO_0009283>	"potassium measurement"
<http://www.ebi.ac.uk/efo/EFO_0008327>	"alpha-1-antitrypsin measurement"
<http://www.ebi.ac.uk/efo/EFO_0007812>	"Plasmodium falciparum antigen IgG measurement"
<http://www.ebi.ac.uk/efo/EFO_0007811>	"Plasmodium falciparum antigen IgG3 measurement"
<http://www.ebi.ac.uk/efo/EFO_0007810>	"Plasmodium falciparum antigen IgG1 measurement"
<http://www.ebi.ac.uk/efo/EFO_0009749>	"age at first sexual intercourse measurement"
<http://www.ebi.ac.uk/efo/EFO_0007941>	"LDH-related sciatica symptom severity measurement"
<http://www.ebi.ac.uk/efo/EFO_0005513>	"progesterone receptor status"
<http://www.ebi.ac.uk/efo/EFO_0003892>	"pulmonary function measurement"
<http://www.ebi.ac.uk/efo/EFO_0005921>	"FEV change measurement"
<http://www.ebi.ac.uk/efo/EFO_0004314>	"forced expiratory volume"
<http://www.ebi.ac.uk/efo/EFO_0004887>	"maximal oxygen uptake measurement"
<http://www.ebi.ac.uk/efo/EFO_0004312>	"vital capacity"
<http://www.ebi.ac.uk/efo/EFO_0005682>	"oxygen saturation measurement"
<http://www.ebi.ac.uk/efo/EFO_0006897>	"airway responsiveness measurement"
<http://www.ebi.ac.uk/efo/EFO_0004713>	"FEV/FVC ratio"
<http://www.ebi.ac.uk/efo/EFO_0004313>	"maximal midexpiratory flow rate"
<http://www.ebi.ac.uk/efo/EFO_0006898>	"airway wall thickness measurement"
<http://www.ebi.ac.uk/efo/EFO_0022917>	"preserved ratio impaired spirometry"@en
<http://www.ebi.ac.uk/efo/EFO_0008431>	"maximal voluntary ventilation"
<http://www.ebi.ac.uk/efo/EFO_0010339>	"FVC change measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009718>	"peak expiratory flow"
<http://www.ebi.ac.uk/efo/EFO_0009369>	"diffusing capacity of the lung for carbon monoxide"
<http://www.ebi.ac.uk/efo/EFO_0600058>	"blood group"
<http://www.ebi.ac.uk/efo/EFO_0600059>	"ABO blood group"
<http://www.ebi.ac.uk/efo/EFO_0600063>	"blood group O"
<http://www.ebi.ac.uk/efo/EFO_0600062>	"blood group AB"
<http://www.ebi.ac.uk/efo/EFO_0600061>	"blood group B"
<http://www.ebi.ac.uk/efo/EFO_0600060>	"blood group A"
<http://www.ebi.ac.uk/efo/EFO_0022042>	"p phenotype"@en
<http://www.ebi.ac.uk/efo/EFO_0020902>	"bombay phenotype"@en
<http://www.ebi.ac.uk/efo/EFO_0803345>	"carbon dioxide measurement"
<http://www.ebi.ac.uk/efo/EFO_0008381>	"total cortical area measurement"
<http://www.ebi.ac.uk/efo/EFO_0007960>	"organochlorine pesticide measurement"
<http://www.ebi.ac.uk/efo/EFO_0007886>	"DDT metabolite measurement"
<http://www.ebi.ac.uk/efo/EFO_0021490>	"amygdala volume change measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0007747>	"postburn hypertrophic scarring severity measurement"
<http://www.ebi.ac.uk/efo/EFO_0008471>	"cardiac stress biomarker measurement"
<http://www.ebi.ac.uk/efo/EFO_0008469>	"B-type natriuretic peptide to N-terminal pro B-type natriuretic peptide ratio"
<http://www.ebi.ac.uk/efo/EFO_0008468>	"midregional pro atrial natriuretic peptide measurement"
<http://www.ebi.ac.uk/efo/EFO_0007828>	"daytime rest measurement"
<http://www.ebi.ac.uk/efo/EFO_0006957>	"X12063 measurement"
<http://www.ebi.ac.uk/efo/EFO_0004845>	"magnesium measurement"
<http://www.ebi.ac.uk/efo/EFO_0009335>	"white matter growth measurement"
<http://www.ebi.ac.uk/efo/EFO_0007847>	"cheekbone morphology measurement"
<http://www.ebi.ac.uk/efo/EFO_0801087>	"anti-beta-casein IgG measurement"
<http://www.ebi.ac.uk/efo/EFO_0008343>	"sex interaction measurement"
<http://www.ebi.ac.uk/efo/EFO_0007723>	"carotid artery mean blood pressure measurement"
<http://www.ebi.ac.uk/efo/EFO_0005092>	"entorhinal cortical volume"
<http://www.ebi.ac.uk/efo/EFO_0005134>	"amino acid measurement"
<http://www.ebi.ac.uk/efo/EFO_0009775>	"threonine measurement"
<http://www.ebi.ac.uk/efo/EFO_0008529>	"kynurenine measurement"
<http://www.ebi.ac.uk/efo/EFO_0008530>	"kynurenine:tryptophan ratio"
<http://www.ebi.ac.uk/efo/EFO_0009792>	"valine measurement"
