?child	?label
<http://www.ebi.ac.uk/efo/EFO_1001755>	"accelerated phase myeloid leukemia"
<http://www.ebi.ac.uk/efo/EFO_1000131>	"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive"
<http://www.ebi.ac.uk/efo/EFO_1000179>	"Chronic Neutrophilic Leukemia"
<http://www.ebi.ac.uk/efo/EFO_1000575>	"Therapy-Related Myeloid Neoplasm"
<http://purl.obolibrary.org/obo/MONDO_0044903>	"myelofibrosis"
<http://purl.obolibrary.org/obo/MONDO_0008040>	"transient myeloproliferative syndrome"
<http://www.ebi.ac.uk/efo/EFO_0000479>	"essential thrombocythemia"
<http://purl.obolibrary.org/obo/MONDO_0020703>	"erythroid neoplasm"
<http://www.ebi.ac.uk/efo/EFO_0002429>	"polycythemia vera"
<http://www.ebi.ac.uk/efo/EFO_0002430>	"primary myelofibrosis"
<http://purl.obolibrary.org/obo/MONDO_0023119>	"familial myelofibrosis"
<http://purl.obolibrary.org/obo/MONDO_0019452>	"myeloproliferative neoplasm, unclassifiable"
<http://purl.obolibrary.org/obo/MONDO_0044881>	"hematopoietic and lymphoid cell neoplasm"
<http://purl.obolibrary.org/obo/MONDO_0015688>	"myeloid/lymphoid neoplasms associated with eosinophilia and abnormality of PDGFRA, PDGFRB, FGFR1 or JAK2"
<http://purl.obolibrary.org/obo/MONDO_0015690>	"myeloid neoplasm associated with PDGFRB rearrangement"
<http://purl.obolibrary.org/obo/MONDO_0013296>	"myeloid neoplasm associated with FGFR1 rearrangement"
<http://www.ebi.ac.uk/efo/EFO_0000565>	"leukemia"
<http://purl.obolibrary.org/obo/MONDO_0004107>	"splenic manifestation of leukemia"
<http://www.ebi.ac.uk/efo/EFO_1000178>	"Chronic Eosinophilic Leukemia, Not Otherwise Specified"
<http://www.ebi.ac.uk/efo/EFO_0004289>	"lymphoid leukemia"
<http://www.ebi.ac.uk/efo/EFO_0005592>	"T-cell leukemia"
<http://purl.obolibrary.org/obo/MONDO_0001606>	"central nervous system leukemia"
<http://www.ebi.ac.uk/efo/EFO_0007359>	"mast-cell leukemia"
<http://purl.obolibrary.org/obo/MONDO_0004600>	"monocytic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0004614>	"chronic monocytic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0004355>	"childhood leukemia"
<http://purl.obolibrary.org/obo/MONDO_0001014>	"chronic leukemia"
