?child	?label
<http://purl.obolibrary.org/obo/CL_0000875>	"non-classical monocyte"
<http://purl.obolibrary.org/obo/CL_0002396>	"CD14-low, CD16-positive monocyte"
<http://purl.obolibrary.org/obo/CL_0002393>	"intermediate monocyte"
<http://purl.obolibrary.org/obo/CL_0000647>	"multinucleated giant cell"
<http://purl.obolibrary.org/obo/CL_0000094>	"granulocyte"
<http://purl.obolibrary.org/obo/CL_0000775>	"neutrophil"
<http://purl.obolibrary.org/obo/CL_0000776>	"immature neutrophil"
<http://purl.obolibrary.org/obo/CL_0000096>	"mature neutrophil"
<http://purl.obolibrary.org/obo/CL_0000560>	"band form neutrophil"
<http://purl.obolibrary.org/obo/CL_0000771>	"eosinophil"
<http://purl.obolibrary.org/obo/CL_0000772>	"immature eosinophil"
<http://purl.obolibrary.org/obo/CL_0000774>	"band form eosinophil"
<http://purl.obolibrary.org/obo/CL_0000041>	"mature eosinophil"
<http://purl.obolibrary.org/obo/CL_0000767>	"basophil"
<http://purl.obolibrary.org/obo/CL_0000768>	"immature basophil"
<http://purl.obolibrary.org/obo/CL_0000770>	"band form basophil"
<http://purl.obolibrary.org/obo/CL_0000614>	"basophilic myelocyte"
<http://purl.obolibrary.org/obo/CL_0000043>	"mature basophil"
<http://purl.obolibrary.org/obo/CL_0000992>	"immature CD11c-low plasmacytoid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000235>	"macrophage"
<http://purl.obolibrary.org/obo/CL_0002150>	"epithelioid macrophage"
<http://purl.obolibrary.org/obo/CL_0000864>	"tissue-resident macrophage"
<http://purl.obolibrary.org/obo/CL_0000583>	"alveolar macrophage"
<http://purl.obolibrary.org/obo/CL_0002247>	"pleural macrophage"
<http://purl.obolibrary.org/obo/CL_0002476>	"bone marrow macrophage"
<http://purl.obolibrary.org/obo/CL_0002477>	"adipose macrophage"
<http://purl.obolibrary.org/obo/CL_0002479>	"F4/80-positive adipose macrophage"
<http://purl.obolibrary.org/obo/CL_0002478>	"F4/80-negative adipose macrophage"
<http://purl.obolibrary.org/obo/CL_0000091>	"Kupffer cell"
<http://purl.obolibrary.org/obo/CL_0000878>	"central nervous system macrophage"
<http://purl.obolibrary.org/obo/CL_0000881>	"perivascular macrophage"
<http://purl.obolibrary.org/obo/CL_0000880>	"choroid plexus macrophage"
<http://purl.obolibrary.org/obo/CL_0000879>	"meningeal macrophage"
<http://purl.obolibrary.org/obo/CL_0000129>	"microglial cell"
<http://purl.obolibrary.org/obo/CL_0000581>	"peritoneal macrophage"
<http://purl.obolibrary.org/obo/CL_0000867>	"secondary lymphoid organ macrophage"
<http://purl.obolibrary.org/obo/CL_0000884>	"mucosa-associated lymphoid tissue macrophage"
<http://purl.obolibrary.org/obo/CL_0000886>	"nasal and broncial associated lymphoid tissue macrophage"
<http://purl.obolibrary.org/obo/CL_0000885>	"gut-associated lymphoid tissue macrophage"
<http://purl.obolibrary.org/obo/CL_0000870>	"Peyer's patch macrophage"
<http://purl.obolibrary.org/obo/CL_0000869>	"tonsillar macrophage"
<http://purl.obolibrary.org/obo/CL_0000865>	"gastrointestinal tract (lamina propria) macrophage"
<http://purl.obolibrary.org/obo/CL_0000871>	"splenic macrophage"
<http://purl.obolibrary.org/obo/CL_0000876>	"splenic white pulp macrophage"
<http://purl.obolibrary.org/obo/CL_0000877>	"splenic tingible body macrophage"
<http://purl.obolibrary.org/obo/CL_0000874>	"splenic red pulp macrophage"
<http://purl.obolibrary.org/obo/CL_0000873>	"splenic metallophillic macrophage"
<http://purl.obolibrary.org/obo/CL_0000872>	"splenic marginal zone macrophage"
<http://purl.obolibrary.org/obo/CL_0000868>	"lymph node macrophage"
<http://purl.obolibrary.org/obo/CL_0000888>	"lymph node tingible body macrophage"
<http://purl.obolibrary.org/obo/CL_0000887>	"lymph node subcapsular sinus macrophage"
<http://purl.obolibrary.org/obo/CL_0002060>	"melanophage"
<http://purl.obolibrary.org/obo/CL_0000777>	"mesangial phagocyte"
<http://purl.obolibrary.org/obo/CL_0000866>	"thymic macrophage"
<http://purl.obolibrary.org/obo/CL_0000883>	"thymic cortical macrophage"
<http://purl.obolibrary.org/obo/CL_0000882>	"thymic medullary macrophage"
<http://purl.obolibrary.org/obo/CL_3000001>	"Hofbauer cell"
<http://purl.obolibrary.org/obo/CL_0000861>	"elicited macrophage"
<http://purl.obolibrary.org/obo/CL_0000890>	"alternatively activated macrophage"
<http://purl.obolibrary.org/obo/CL_0000863>	"inflammatory macrophage"
<http://purl.obolibrary.org/obo/CL_0000862>	"suppressor macrophage"
<http://purl.obolibrary.org/obo/CL_0000999>	"CD4-positive CD11b-positive dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000997>	"immature CD8-alpha-negative CD11b-positive dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000453>	"Langerhans cell"
<http://purl.obolibrary.org/obo/CL_0001015>	"CD8-alpha-low Langerhans cell"
<http://purl.obolibrary.org/obo/CL_0001018>	"immature CD8-alpha-low Langerhans cell"
<http://purl.obolibrary.org/obo/CL_0002457>	"epidermal Langerhans cell"
<http://purl.obolibrary.org/obo/CL_0001014>	"CD1a-positive Langerhans cell"
<http://purl.obolibrary.org/obo/CL_0001016>	"immature CD1a-positive Langerhans cell"
<http://purl.obolibrary.org/obo/CL_0000840>	"immature conventional dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001011>	"immature interstitial dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001009>	"immature dermal dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002530>	"immature CD1a-positive dermal dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002527>	"immature CD14-positive dermal dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001004>	"immature CD8-alpha-positive CD11b-negative dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001000>	"CD8-alpha-positive CD11b-negative dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000993>	"mature CD11c-low plasmacytoid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000097>	"mast cell"
<http://purl.obolibrary.org/obo/CL_0000485>	"mucosal type mast cell"
<http://purl.obolibrary.org/obo/CL_0000484>	"connective tissue type mast cell"
<http://purl.obolibrary.org/obo/CL_0002462>	"adipose dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002464>	"SIRPa-negative adipose dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002463>	"SIRPa-positive adipose dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000738>	"leukocyte"
<http://purl.obolibrary.org/obo/CL_0002087>	"nongranular leukocyte"
<http://purl.obolibrary.org/obo/CL_2000074>	"splenocyte"
<http://purl.obolibrary.org/obo/CL_0000845>	"marginal zone B cell of spleen"
<http://purl.obolibrary.org/obo/CL_0000842>	"mononuclear cell"
<http://purl.obolibrary.org/obo/CL_0000542>	"lymphocyte"
<http://purl.obolibrary.org/obo/CL_0001067>	"group 1 innate lymphoid cell"
<http://purl.obolibrary.org/obo/CL_0000623>	"natural killer cell"
<http://purl.obolibrary.org/obo/CL_0000823>	"immature natural killer cell"
<http://purl.obolibrary.org/obo/CL_0002346>	"Dx5-negative, NK1.1-positive immature natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002345>	"CD27-low, CD11b-low immature natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002344>	"CD56-negative, CD161-positive immature natural killer cell, human"
<http://purl.obolibrary.org/obo/CL_0002338>	"CD56-positive, CD161-positive immature natural killer cell, human"
<http://purl.obolibrary.org/obo/CL_0002442>	"CD94-negative, Ly49CI-negative natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0000937>	"pre-natural killer cell"
<http://purl.obolibrary.org/obo/CL_0000824>	"mature natural killer cell"
<http://purl.obolibrary.org/obo/CL_0000938>	"CD16-negative, CD56-bright natural killer cell, human"
<http://purl.obolibrary.org/obo/CL_0002438>	"NK1.1-positive natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002444>	"Ly49H-positive natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002446>	"Ly49CI-negative natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002448>	"Ly49H-negative natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002441>	"CD94-positive natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002449>	"CD94-positive Ly49CI-positive natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002443>	"Ly49CI-positive natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002445>	"Ly49D-negative natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002440>	"Ly49D-positive natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002447>	"CD94-negative natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002426>	"CD11b-positive, CD27-positive natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002439>	"NKGA2-positive natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002347>	"CD27-high, CD11b-high natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002349>	"CD27-high, CD11b-low natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002348>	"CD27-low, CD11b-high natural killer cell, mouse"
<http://purl.obolibrary.org/obo/CL_0002343>	"decidual natural killer cell, human"
<http://purl.obolibrary.org/obo/CL_0000939>	"CD16-positive, CD56-dim natural killer cell, human"
<http://purl.obolibrary.org/obo/CL_0000945>	"lymphocyte of B lineage"
<http://purl.obolibrary.org/obo/CL_0000236>	"B cell"
<http://purl.obolibrary.org/obo/CL_0000816>	"immature B cell"
<http://purl.obolibrary.org/obo/CL_0002055>	"CD38-negative immature B cell"
<http://purl.obolibrary.org/obo/CL_0002054>	"fraction E immature B cell"
<http://purl.obolibrary.org/obo/CL_0000818>	"transitional stage B cell"
<http://purl.obolibrary.org/obo/CL_0000960>	"T3 B cell"
<http://purl.obolibrary.org/obo/CL_0000959>	"T2 B cell"
<http://purl.obolibrary.org/obo/CL_0000958>	"T1 B cell"
<http://purl.obolibrary.org/obo/CL_0000785>	"mature B cell"
<http://purl.obolibrary.org/obo/CL_0000819>	"B-1 B cell"
<http://purl.obolibrary.org/obo/CL_0000821>	"B-1b B cell"
<http://purl.obolibrary.org/obo/CL_0000820>	"B-1a B cell"
<http://purl.obolibrary.org/obo/CL_0000788>	"naive B cell"
<http://purl.obolibrary.org/obo/CL_0002102>	"CD38-negative naive B cell"
<http://purl.obolibrary.org/obo/CL_0002101>	"CD38-positive naive B cell"
<http://purl.obolibrary.org/obo/CL_0002109>	"B220-positive CD38-positive naive B cell"
<http://purl.obolibrary.org/obo/CL_0002110>	"B220-low CD38-positive naive B cell"
<http://purl.obolibrary.org/obo/CL_0000968>	"Be cell"
<http://purl.obolibrary.org/obo/CL_0000944>	"Be2 cell"
<http://purl.obolibrary.org/obo/CL_0000943>	"Be1 Cell"
<http://purl.obolibrary.org/obo/CL_0000822>	"B-2 B cell"
<http://purl.obolibrary.org/obo/CL_0002402>	"Peyer's patch B cell"
<http://purl.obolibrary.org/obo/CL_0002056>	"fraction F mature B cell"
<http://purl.obolibrary.org/obo/CL_0000961>	"Bm1 B cell"
<http://purl.obolibrary.org/obo/CL_0000843>	"follicular B cell"
<http://purl.obolibrary.org/obo/CL_0000962>	"Bm2 B cell"
<http://purl.obolibrary.org/obo/CL_0000844>	"germinal center B cell"
