?child	?label
<http://purl.obolibrary.org/obo/HP_0005593>	"Macular hypopigmented whorls, streaks, and patches"
<http://purl.obolibrary.org/obo/HP_0001022>	"Albinism"
<http://www.ebi.ac.uk/efo/EFO_0003963>	"freckles"
<http://purl.obolibrary.org/obo/HP_0030052>	"Inguinal freckling"
<http://purl.obolibrary.org/obo/HP_0000997>	"Axillary freckling"
<http://purl.obolibrary.org/obo/HP_0001106>	"Periorbital hyperpigmentation"
<http://purl.obolibrary.org/obo/HP_0001480>	"Freckling"
<http://purl.obolibrary.org/obo/HP_0000953>	"Hyperpigmentation of the skin"
<http://purl.obolibrary.org/obo/HP_0000957>	"Cafe-au-lait spot"
<http://purl.obolibrary.org/obo/HP_0007565>	"Multiple cafe-au-lait spots"
<http://purl.obolibrary.org/obo/HP_0007429>	"Few cafe-au-lait spots"
<http://www.ebi.ac.uk/efo/EFO_0004279>	"suntan"
<http://purl.obolibrary.org/obo/HP_0001065>	"Striae distensae"
<http://purl.obolibrary.org/obo/HP_0000954>	"Single transverse palmar crease"
<http://purl.obolibrary.org/obo/HP_0000980>	"Pallor"
<http://purl.obolibrary.org/obo/HP_0100267>	"Lip pit"
<http://purl.obolibrary.org/obo/HP_0007455>	"Adermatoglyphia"
<http://purl.obolibrary.org/obo/HP_0001075>	"Atrophic scars"
<http://purl.obolibrary.org/obo/HP_0001072>	"Thickened skin"
<http://purl.obolibrary.org/obo/HP_0100324>	"Scleroderma"
<http://purl.obolibrary.org/obo/HP_0011368>	"Epidermal thickening"
<http://purl.obolibrary.org/obo/HP_0007559>	"Localized epidermolytic hyperkeratosis"
<http://purl.obolibrary.org/obo/HP_0000962>	"Hyperkeratosis"
<http://purl.obolibrary.org/obo/HP_0045059>	"Hyperkeratotic papule"
<http://purl.obolibrary.org/obo/HP_0000972>	"Palmoplantar hyperkeratosis"
<http://purl.obolibrary.org/obo/HP_0007447>	"Diffuse palmoplantar hyperkeratosis"
<http://purl.obolibrary.org/obo/HP_0007404>	"Nonepidermolytic palmoplantar hyperkeratosis"
<http://purl.obolibrary.org/obo/HP_0000982>	"Palmoplantar keratoderma"
<http://purl.obolibrary.org/obo/HP_0008067>	"Abnormally lax or hyperextensible skin"
<http://purl.obolibrary.org/obo/HP_0000974>	"Hyperextensible skin"
<http://purl.obolibrary.org/obo/HP_0006114>	"Multiple palmar creases"
<http://purl.obolibrary.org/obo/HP_0000992>	"Cutaneous photosensitivity"
<http://purl.obolibrary.org/obo/HP_0001114>	"Xanthelasma"
<http://purl.obolibrary.org/obo/HP_0011311>	"Sydney crease"
<http://purl.obolibrary.org/obo/HP_0200037>	"Skin vesicle"
<http://purl.obolibrary.org/obo/HP_0025246>	"Trichilemmal cyst"
<http://purl.obolibrary.org/obo/HP_0001482>	"Subcutaneous nodule"
<http://purl.obolibrary.org/obo/HP_0001030>	"Fragile skin"
<http://purl.obolibrary.org/obo/HP_0000958>	"Dry skin"
<http://purl.obolibrary.org/obo/HP_0011276>	"Vascular skin abnormality"
<http://purl.obolibrary.org/obo/HP_0100585>	"Telangiectasia of the skin"
<http://purl.obolibrary.org/obo/HP_0010783>	"Erythema"
<http://purl.obolibrary.org/obo/HP_0001933>	"Subcutaneous hemorrhage"
<http://purl.obolibrary.org/obo/HP_0000979>	"Purpura"
<http://www.ebi.ac.uk/efo/EFO_1001913>	"Purpura Fulminans"
<http://purl.obolibrary.org/obo/HP_0031364>	"Ecchymosis"
<http://purl.obolibrary.org/obo/HP_0000978>	"Bruising susceptibility"
<http://purl.obolibrary.org/obo/HP_0001071>	"Angiokeratoma corporis diffusum"
<http://purl.obolibrary.org/obo/HP_0010606>	"Hordeolum"
<http://purl.obolibrary.org/obo/HP_0032156>	"Skin detachment"
<http://purl.obolibrary.org/obo/HP_0010609>	"Skin tags"
<http://purl.obolibrary.org/obo/HP_0000384>	"Preauricular skin tag"
<http://purl.obolibrary.org/obo/HP_0008066>	"Abnormal blistering of the skin"
<http://purl.obolibrary.org/obo/HP_0007446>	"Palmoplantar blistering"
<http://purl.obolibrary.org/obo/HP_0030350>	"Erythematous papule"
<http://purl.obolibrary.org/obo/HP_0000952>	"Jaundice"
<http://purl.obolibrary.org/obo/HP_0004467>	"Preauricular pit"
<http://purl.obolibrary.org/obo/HP_0031284>	"Flushing"
<http://purl.obolibrary.org/obo/HP_0000960>	"Sacral dimple"
<http://www.ebi.ac.uk/efo/EFO_0006835>	"pyoderma gangrenosum"
<http://purl.obolibrary.org/obo/HP_0009720>	"Adenoma sebaceum"
<http://purl.obolibrary.org/obo/HP_0007620>	"Cutaneous leiomyoma"
<http://purl.obolibrary.org/obo/HP_0002224>	"Woolly hair"
<http://purl.obolibrary.org/obo/HP_0001597>	"Abnormal nail morphology"
<http://purl.obolibrary.org/obo/HP_0008404>	"Nail dystrophy"
<http://purl.obolibrary.org/obo/HP_0008388>	"Abnormal toenail morphology"
<http://www.ebi.ac.uk/efo/EFO_0007879>	"petaloid toenail"
<http://purl.obolibrary.org/obo/HP_0001800>	"Hypoplastic toenails"
<http://purl.obolibrary.org/obo/HP_0008386>	"Aplasia/Hypoplasia of the nails"
<http://purl.obolibrary.org/obo/HP_0008398>	"Hypoplastic fifth fingernail"
<http://purl.obolibrary.org/obo/HP_0001798>	"Anonychia"
<http://purl.obolibrary.org/obo/HP_0002165>	"Nail pterygium"
<http://purl.obolibrary.org/obo/HP_0002164>	"Nail dysplasia"
<http://purl.obolibrary.org/obo/HP_0030055>	"Hyperconvex toenail"
<http://purl.obolibrary.org/obo/HP_0000534>	"Abnormal eyebrow morphology"
<http://purl.obolibrary.org/obo/HP_0045075>	"Sparse eyebrow"
<http://purl.obolibrary.org/obo/HP_0011229>	"Broad eyebrow"
<http://purl.obolibrary.org/obo/HP_0010747>	"Medial flaring of the eyebrow"
<http://purl.obolibrary.org/obo/HP_0002226>	"White eyebrow"
<http://purl.obolibrary.org/obo/HP_0000966>	"Hypohidrosis"
<http://purl.obolibrary.org/obo/HP_0001596>	"Alopecia"
<http://purl.obolibrary.org/obo/HP_0002293>	"Alopecia of scalp"
<http://purl.obolibrary.org/obo/HP_0008070>	"Sparse hair"
<http://purl.obolibrary.org/obo/HP_0002209>	"Sparse scalp hair"
<http://purl.obolibrary.org/obo/HP_0002290>	"Poliosis"
<http://purl.obolibrary.org/obo/HP_0000499>	"Abnormal eyelash morphology"
<http://purl.obolibrary.org/obo/HP_0009743>	"Distichiasis"
<http://purl.obolibrary.org/obo/HP_0002227>	"White eyelashes"
<http://purl.obolibrary.org/obo/HP_0001128>	"Trichiasis"
<http://purl.obolibrary.org/obo/HP_0000527>	"Long eyelashes"
<http://purl.obolibrary.org/obo/HP_0002555>	"Absent pubic hair"
<http://purl.obolibrary.org/obo/HP_0025278>	"Cold-induced sweating"
<http://purl.obolibrary.org/obo/HP_0002659>	"Increased susceptibility to fractures"
<http://purl.obolibrary.org/obo/HP_0002757>	"Recurrent fractures"
<http://purl.obolibrary.org/obo/HP_0002756>	"Pathologic fracture"
<http://purl.obolibrary.org/obo/HP_0005855>	"Multiple prenatal fractures"
<http://purl.obolibrary.org/obo/HP_0040064>	"Abnormality of limbs"
<http://purl.obolibrary.org/obo/HP_0006487>	"Bowing of the long bones"
<http://purl.obolibrary.org/obo/HP_0003865>	"Bowed humerus"
<http://purl.obolibrary.org/obo/HP_0003031>	"Ulnar bowing"
<http://purl.obolibrary.org/obo/HP_0002986>	"Radial bowing"
<http://purl.obolibrary.org/obo/HP_0002979>	"Bowing of the legs"
<http://purl.obolibrary.org/obo/HP_0002980>	"Femoral bowing"
<http://purl.obolibrary.org/obo/HP_0002970>	"Genu varum"
