?child	?label
<http://www.ebi.ac.uk/efo/EFO_0010016>	"HiRes-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008947>	"sRNA-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008945>	"SPET-seq"
<http://www.ebi.ac.uk/efo/EFO_0008844>	"PAPERCLIP"
<http://www.ebi.ac.uk/efo/EFO_0008880>	"RAP"
<http://www.ebi.ac.uk/efo/EFO_0008970>	"TIF-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008737>	"FAST-iCLIP"
<http://www.ebi.ac.uk/efo/EFO_0008987>	"YAMAT-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008675>	"CaptureSeq"
<http://www.ebi.ac.uk/efo/EFO_0008748>	"FRT-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008645>	"3-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008756>	"GRO-CAP"
<http://www.ebi.ac.uk/efo/EFO_0008735>	"FACS-seq"
<http://www.ebi.ac.uk/efo/EFO_0008746>	"FREQ-Seq"
<http://www.ebi.ac.uk/efo/EFO_0010010>	"CEL-seq2"
<http://www.ebi.ac.uk/efo/EFO_0030074>	"SORT-seq"
<http://www.ebi.ac.uk/efo/EFO_0008825>	"Nanogrid RNA-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008936>	"SMORE-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008941>	"sNuc-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008931>	"Smart-seq2"
<http://www.ebi.ac.uk/efo/EFO_0008895>	"RIL-seq"
<http://www.ebi.ac.uk/efo/EFO_0008874>	"PTB-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008934>	"SMIT"
<http://www.ebi.ac.uk/efo/EFO_0008976>	"TRIBE"
<http://www.ebi.ac.uk/efo/EFO_0008865>	"Pol II CLIP"
<http://www.ebi.ac.uk/efo/EFO_0008664>	"BruUV-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008643>	"3′-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008786>	"LM-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008797>	"MATQ-seq"
<http://www.ebi.ac.uk/efo/EFO_0008719>	"dRNA-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008745>	"Frag-seq"
<http://www.ebi.ac.uk/efo/EFO_0008930>	"Smart-seq"
<http://www.ebi.ac.uk/efo/EFO_0010026>	"RESA-CLIP"
<http://www.ebi.ac.uk/efo/EFO_0008873>	"PSI-seq"
<http://www.ebi.ac.uk/efo/EFO_0008884>	"RBNS"
<http://www.ebi.ac.uk/efo/EFO_0008859>	"PEAT"
<http://www.ebi.ac.uk/efo/EFO_0008642>	"3’NT method"
<http://www.ebi.ac.uk/efo/EFO_0008849>	"PARTE"
<http://www.ebi.ac.uk/efo/EFO_0008890>	"rG4-seq"
<http://www.ebi.ac.uk/efo/EFO_0008980>	"UMI Method"
<http://www.ebi.ac.uk/efo/EFO_0008796>	"MARS-seq"
<http://www.ebi.ac.uk/efo/EFO_0008775>	"icSHAPE"
<http://www.ebi.ac.uk/efo/EFO_0008718>	"DP-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008708>	"DeepCAGE"
<http://www.ebi.ac.uk/efo/EFO_0008713>	"DMS-MapSeq"
<http://www.ebi.ac.uk/efo/EFO_0008766>	"HITS-RAP"
<http://www.ebi.ac.uk/efo/EFO_0008692>	"CLaP"
<http://www.ebi.ac.uk/efo/EFO_0008903>	"SC3-seq"
<http://www.ebi.ac.uk/efo/EFO_0008679>	"CEL-seq"
<http://www.ebi.ac.uk/efo/EFO_0008803>	"MeRIP-Seq"
<http://www.ebi.ac.uk/efo/EFO_0010004>	"SCRB-seq"
<http://www.ebi.ac.uk/efo/EFO_0030061>	"mcSCRB-seq"
<http://www.ebi.ac.uk/efo/EFO_0008960>	"TAIL-seq"
<http://www.ebi.ac.uk/efo/EFO_0010015>	"SCTG"
<http://www.ebi.ac.uk/efo/EFO_0010020>	"AGO HITS-CLIP"
<http://www.ebi.ac.uk/efo/EFO_0008862>	"PIP-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008848>	"PARS"
<http://www.ebi.ac.uk/efo/EFO_0008853>	"Patch-seq"
<http://www.ebi.ac.uk/efo/EFO_0009999>	"G&T-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008843>	"PAL-seq"
<http://www.ebi.ac.uk/efo/EFO_0008774>	"iCLIP"
<http://www.ebi.ac.uk/efo/EFO_0008712>	"DLAF"
<http://www.ebi.ac.uk/efo/EFO_0008691>	"CirSeq"
<http://www.ebi.ac.uk/efo/EFO_0008681>	"CHART"
<http://www.ebi.ac.uk/efo/EFO_0010003>	"RASL-seq"
<http://www.ebi.ac.uk/efo/EFO_0008950>	"ssRNA-seq"
<http://www.ebi.ac.uk/efo/EFO_0008648>	"5PSeq"
<http://www.ebi.ac.uk/efo/EFO_0011028>	"BRB-seq"
<http://www.ebi.ac.uk/efo/EFO_0008994>	"spatial transcriptomics"
<http://www.ebi.ac.uk/efo/EFO_0022615>	"10x Xenium"@en
<http://www.ebi.ac.uk/efo/EFO_0008989>	"in situ sequencing"
<http://www.ebi.ac.uk/efo/EFO_0700006>	"ExSeq"
<http://www.ebi.ac.uk/efo/EFO_0700008>	"untargeted ExSeq"
<http://www.ebi.ac.uk/efo/EFO_0700007>	"targeted ExSeq"
<http://www.ebi.ac.uk/efo/EFO_0008990>	"FISSEQ"
<http://www.ebi.ac.uk/efo/EFO_0010037>	"INTACT"
<http://www.ebi.ac.uk/efo/EFO_0008828>	"Nm-seq"
<http://www.ebi.ac.uk/efo/EFO_0010045>	"Start-seq"
<http://www.ebi.ac.uk/efo/EFO_0008818>	"miTRAP"
<http://www.ebi.ac.uk/efo/EFO_0008763>	"Hi-SCL"
<http://www.ebi.ac.uk/efo/EFO_0008975>	"TRAP-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008663>	"BruDRB-seq"
<http://www.ebi.ac.uk/efo/EFO_0008753>	"GMUCT 2.0"
<http://www.ebi.ac.uk/efo/EFO_0008819>	"mNET-seq"
<http://www.ebi.ac.uk/efo/EFO_0008754>	"GRIL-seq"
