?child	?label
<http://purl.obolibrary.org/obo/UBERON_2001304>	"vagal ganglion 3"
<http://purl.obolibrary.org/obo/UBERON_2001303>	"vagal ganglion 2"
<http://purl.obolibrary.org/obo/UBERON_2000120>	"lateral line ganglion"
<http://purl.obolibrary.org/obo/UBERON_2001391>	"anterior lateral line ganglion"
<http://purl.obolibrary.org/obo/UBERON_2001313>	"ventral anterior lateral line ganglion"
<http://purl.obolibrary.org/obo/UBERON_2001312>	"dorsal anterior lateral line ganglion"
<http://purl.obolibrary.org/obo/UBERON_2001314>	"posterior lateral line ganglion"
<http://purl.obolibrary.org/obo/UBERON_0002058>	"main ciliary ganglion"
<http://purl.obolibrary.org/obo/UBERON_2001305>	"vagal ganglion 4"
<http://purl.obolibrary.org/obo/UBERON_0000044>	"dorsal root ganglion"
<http://purl.obolibrary.org/obo/UBERON_0000013>	"sympathetic nervous system"
<http://purl.obolibrary.org/obo/FMA_24984>	"calf"
<http://purl.obolibrary.org/obo/UBERON_0007196>	"tracheobronchial tree"
<http://purl.obolibrary.org/obo/UBERON_0004200>	"kidney pyramid"
<http://purl.obolibrary.org/obo/UBERON_0001729>	"oropharynx"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"sense organ"
<http://purl.obolibrary.org/obo/UBERON_0010230>	"eyeball of camera-type eye"
<http://purl.obolibrary.org/obo/UBERON_0008904>	"neuromast"
<http://purl.obolibrary.org/obo/UBERON_2000939>	"middle lateral line neuromast"
<http://purl.obolibrary.org/obo/UBERON_2000814>	"opercular lateral line neuromast"
<http://purl.obolibrary.org/obo/UBERON_2000136>	"otic lateral line neuromast"
<http://purl.obolibrary.org/obo/UBERON_2000813>	"infraorbital lateral line neuromast"
<http://purl.obolibrary.org/obo/UBERON_2000125>	"mandibular lateral line neuromast"
<http://purl.obolibrary.org/obo/UBERON_2000940>	"posterior lateral line neuromast"
<http://purl.obolibrary.org/obo/UBERON_2001026>	"supraorbital lateral line neuromast"
<http://purl.obolibrary.org/obo/UBERON_2001025>	"occipital lateral line neuromast"
<http://purl.obolibrary.org/obo/UBERON_0002255>	"vomeronasal organ"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"arthropod sensillum"
<http://purl.obolibrary.org/obo/UBERON_0000004>	"nose"
<http://purl.obolibrary.org/obo/UBERON_0001723>	"tongue"
<http://purl.obolibrary.org/obo/UBERON_0001038>	"chordotonal organ"
<http://purl.obolibrary.org/obo/UBERON_0000970>	"eye"
<http://purl.obolibrary.org/obo/UBERON_0000019>	"camera-type eye"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"ear"
<http://purl.obolibrary.org/obo/UBERON_0002227>	"spiral organ of cochlea"
<http://purl.obolibrary.org/obo/UBERON_0002073>	"hair follicle"
<http://purl.obolibrary.org/obo/UBERON_0001906>	"subthalamic nucleus"
<http://purl.obolibrary.org/obo/UBERON_0006083>	"perirhinal cortex"
<http://purl.obolibrary.org/obo/UBERON_0001353>	"anal region"
<http://www.ebi.ac.uk/efo/EFO_0000254>	"anal pad specific anlage"
<http://purl.obolibrary.org/obo/UBERON_0003668>	"synovial bursa"
<http://purl.obolibrary.org/obo/UBERON_0000362>	"renal medulla"
<http://purl.obolibrary.org/obo/UBERON_0001137>	"dorsum"
<http://purl.obolibrary.org/obo/UBERON_0002282>	"stria vascularis of cochlear duct"
<http://purl.obolibrary.org/obo/UBERON_0001811>	"conjunctiva"
<http://purl.obolibrary.org/obo/UBERON_0003059>	"presomitic mesoderm"
<http://purl.obolibrary.org/obo/UBERON_0001296>	"myometrium"
<http://purl.obolibrary.org/obo/UBERON_0001891>	"midbrain"
<http://purl.obolibrary.org/obo/UBERON_0000055>	"vessel"
<http://purl.obolibrary.org/obo/UBERON_0005985>	"coronary vessel"
<http://purl.obolibrary.org/obo/UBERON_0005440>	"ductus arteriosus"
<http://purl.obolibrary.org/obo/UBERON_0001621>	"coronary artery"
<http://purl.obolibrary.org/obo/FMA_3897>	"proximal portion of circumflex branch of left coronary artery"
<http://purl.obolibrary.org/obo/FMA_3884>	"distal portion of anterior interventricular branch of left coronary artery"
<http://purl.obolibrary.org/obo/FMA_3804>	"proximal portion of right coronary artery"
<http://purl.obolibrary.org/obo/FMA_3866>	"proximal portion of anterior interventricular branch of left coronary artery"
<http://purl.obolibrary.org/obo/FMA_3906>	"distal portion of circumflex branch of left coronary artery"
<http://purl.obolibrary.org/obo/FMA_3832>	"distal portion of right coronary artery"
<http://purl.obolibrary.org/obo/UBERON_0001981>	"blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003712>	"cavernous sinus"
<http://purl.obolibrary.org/obo/UBERON_0013768>	"great vessel of heart"
<http://purl.obolibrary.org/obo/UBERON_0002012>	"pulmonary artery"
<http://purl.obolibrary.org/obo/UBERON_0000947>	"aorta"
<http://www.ebi.ac.uk/efo/EFO_0002750>	"disturbed flow regions"
<http://www.ebi.ac.uk/efo/EFO_0002749>	"undisturbed flow regions"
<http://purl.obolibrary.org/obo/UBERON_2005025>	"dorsal longitudinal anastomotic vessel"
<http://purl.obolibrary.org/obo/UBERON_0036269>	"penis blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"arteriole"
<http://purl.obolibrary.org/obo/UBERON_0004640>	"renal efferent arteriole"
<http://purl.obolibrary.org/obo/UBERON_0004639>	"renal afferent arteriole"
<http://purl.obolibrary.org/obo/UBERON_0001637>	"artery"
