?child	?label
<http://purl.obolibrary.org/obo/PO_0001170>	"seed development stage"
<http://purl.obolibrary.org/obo/PO_0007632>	"seed maturation stage"
<http://purl.obolibrary.org/obo/PO_0004506>	"developing seed stage"
<http://purl.obolibrary.org/obo/PO_0004505>	"fertilized ovule stage"
<http://purl.obolibrary.org/obo/PO_0001083>	"inflorescence development stage"
<http://purl.obolibrary.org/obo/PO_0001002>	"fruit development stage"
<http://purl.obolibrary.org/obo/PO_0025501>	"fruit formation stage"
<http://purl.obolibrary.org/obo/PO_0025508>	"fruit size 70% to final size stage"
<http://purl.obolibrary.org/obo/PO_0025507>	"fruit size 50 to 70% stage"
<http://purl.obolibrary.org/obo/PO_0025506>	"fruit size 30 to 50% stage"
<http://purl.obolibrary.org/obo/PO_0025504>	"fruit size up to 10% stage"
<http://www.ebi.ac.uk/efo/EFO_0007725>	"embryo stage"
<http://www.ebi.ac.uk/efo/EFO_0005859>	"Drosophila embryo stage"
<http://www.ebi.ac.uk/efo/EFO_0005872>	"embryonic stage 12"
<http://www.ebi.ac.uk/efo/EFO_0005869>	"embryonic stage 9"
<http://www.ebi.ac.uk/efo/EFO_0005875>	"embryonic stage 15"
<http://purl.obolibrary.org/obo/FBdv_00005331>	"dorsal closure stage"
<http://www.ebi.ac.uk/efo/EFO_0005860>	"embryonic stage 1"
<http://www.ebi.ac.uk/efo/EFO_0005874>	"embryonic stage 14"
<http://www.ebi.ac.uk/efo/EFO_0005877>	"embryonic stage 17"
<http://www.ebi.ac.uk/efo/EFO_0005862>	"embryonic stage 3"
<http://www.ebi.ac.uk/efo/EFO_0005876>	"embryonic stage 16"
<http://www.ebi.ac.uk/efo/EFO_0005861>	"embryonic stage 2"
<http://www.ebi.ac.uk/efo/EFO_0005864>	"embryonic stage 5"
<http://www.ebi.ac.uk/efo/EFO_0005863>	"embryonic stage 4"
<http://www.ebi.ac.uk/efo/EFO_0005866>	"embryonic stage 7"
<http://www.ebi.ac.uk/efo/EFO_0005865>	"embryonic stage 6"
<http://www.ebi.ac.uk/efo/EFO_0005871>	"embryonic stage 11"
<http://www.ebi.ac.uk/efo/EFO_0005868>	"embryonic stage 8"
<http://www.ebi.ac.uk/efo/EFO_0005870>	"embryonic stage 10"
<http://www.ebi.ac.uk/efo/EFO_0005873>	"embryonic stage 13"
<http://www.ebi.ac.uk/efo/EFO_0005858>	"C. elegans embryo stage"
<http://www.ebi.ac.uk/efo/EFO_0005506>	"elongating embryo Ce"
<http://www.ebi.ac.uk/efo/EFO_0005504>	"fully-elongated embryo Ce"
<http://www.ebi.ac.uk/efo/EFO_0005501>	"proliferating embryo Ce"
<http://www.ebi.ac.uk/efo/EFO_0005503>	"gastrulating embryo Ce"
<http://www.ebi.ac.uk/efo/EFO_0005502>	"late cleavage stage embryo Ce"
<http://www.ebi.ac.uk/efo/EFO_0005505>	"enclosing embryo Ce"
<http://www.ebi.ac.uk/efo/EFO_0005500>	"4-cell embryo Ce"
<http://www.ebi.ac.uk/efo/EFO_0005499>	"3-fold embryo Ce"
<http://purl.obolibrary.org/obo/WBls_0000003>	"embryo Ce"
<http://www.ebi.ac.uk/efo/EFO_0005857>	"mouse embryo stage"
<http://www.ebi.ac.uk/efo/EFO_0002569>	"embryonic day 18"
<http://www.ebi.ac.uk/efo/EFO_0007643>	"embryonic day 10.5"
<http://www.ebi.ac.uk/efo/EFO_0002570>	"embryonic day 18.5"
<http://www.ebi.ac.uk/efo/EFO_0007640>	"embryonic day 12"
<http://www.ebi.ac.uk/efo/EFO_0002564>	"embryonic day 13.5"
<http://www.ebi.ac.uk/efo/EFO_0002565>	"embryonic day 14.5"
<http://www.ebi.ac.uk/efo/EFO_0002562>	"embryonic day 11.5"
<http://www.ebi.ac.uk/efo/EFO_0002566>	"embryonic day 15.5"
<http://www.ebi.ac.uk/efo/EFO_0002561>	"embryonic day 8.25"
<http://www.ebi.ac.uk/efo/EFO_0002568>	"embryonic day 17.5"
<http://www.ebi.ac.uk/efo/EFO_0007642>	"embryonic day 13"
<http://www.ebi.ac.uk/efo/EFO_0002563>	"embryonic day 12.5"
<http://www.ebi.ac.uk/efo/EFO_0002567>	"embryonic day 16.5"
<http://www.ebi.ac.uk/efo/EFO_0007641>	"embryonic day 9.5"
<http://www.ebi.ac.uk/efo/EFO_0007644>	"embryonic day 9"
<http://www.ebi.ac.uk/efo/EFO_0001322>	"fertilized egg stage"
<http://purl.obolibrary.org/obo/CL_0000365>	"animal zygote"
<http://purl.obolibrary.org/obo/UBERON_0000069>	"larval stage"
<http://www.ebi.ac.uk/efo/EFO_0007695>	"Danio rerio larval stage"
<http://www.ebi.ac.uk/efo/EFO_0007696>	"larval protruding mouth"
<http://www.ebi.ac.uk/efo/EFO_0001309>	"larval day 7-13"
<http://www.ebi.ac.uk/efo/EFO_0001308>	"larval day 21-29"
<http://www.ebi.ac.uk/efo/EFO_0001307>	"larval day 14-20"
<http://www.ebi.ac.uk/efo/EFO_0001306>	"larval day 6"
<http://www.ebi.ac.uk/efo/EFO_0001305>	"larval day 5"
<http://www.ebi.ac.uk/efo/EFO_0001304>	"larval day 4"
<http://www.ebi.ac.uk/efo/EFO_0007694>	"Caenorhabditis elegans larval stage"
<http://www.ebi.ac.uk/efo/EFO_0005511>	"post dauer stage"
<http://www.ebi.ac.uk/efo/EFO_0005510>	"L2d-dauer molt"
<http://www.ebi.ac.uk/efo/EFO_0005509>	"L4 larva"
<http://www.ebi.ac.uk/efo/EFO_0005508>	"L1 larva"
<http://www.ebi.ac.uk/efo/EFO_0005507>	"dauer larva"
<http://www.ebi.ac.uk/efo/EFO_0002720>	"L3 larva"
<http://www.ebi.ac.uk/efo/EFO_0002719>	"L2 larva"
<http://www.ebi.ac.uk/efo/EFO_0005651>	"drosophila developmental stage"
<http://www.ebi.ac.uk/efo/EFO_0002682>	"third instar larva stage"
<http://www.ebi.ac.uk/efo/EFO_0007711>	"Platyhelminthes life stage"
<http://www.ebi.ac.uk/efo/EFO_0007715>	"Platyhelminthes adult"
<http://www.ebi.ac.uk/efo/EFO_0007714>	"24 hr schistosomulum"
<http://www.ebi.ac.uk/efo/EFO_0007713>	"3 hr schistosomulum"
<http://www.ebi.ac.uk/efo/EFO_0007712>	"cercarium"
<http://www.ebi.ac.uk/efo/EFO_0002948>	"postnatal"
<http://www.ebi.ac.uk/efo/EFO_0008562>	"postpartum"
<http://www.ebi.ac.uk/efo/EFO_0004390>	"mouse postnatal"
<http://www.ebi.ac.uk/efo/EFO_0004391>	"Theiler stage 27"
<http://www.ebi.ac.uk/efo/EFO_0002588>	"Theiler stage 28"
<http://purl.obolibrary.org/obo/UBERON_0004707>	"pharyngula stage"
<http://www.ebi.ac.uk/efo/EFO_0001314>	"pharyngula prim-5"
<http://www.ebi.ac.uk/efo/EFO_0001313>	"pharyngula prim-25"
<http://www.ebi.ac.uk/efo/EFO_0001312>	"pharyngula prim-15"
<http://www.ebi.ac.uk/efo/EFO_0001311>	"pharyngula high-pec"
<http://purl.obolibrary.org/obo/UBERON_0000108>	"blastula stage"
<http://www.ebi.ac.uk/efo/EFO_0001279>	"blastula dome"
<http://www.ebi.ac.uk/efo/EFO_0001274>	"blastula 1k-cell"
<http://www.ebi.ac.uk/efo/EFO_0001276>	"blastula 256-cell"
<http://www.ebi.ac.uk/efo/EFO_0001281>	"blastula oblong"
<http://www.ebi.ac.uk/efo/EFO_0001273>	"blastula 128-cell"
<http://www.ebi.ac.uk/efo/EFO_0001278>	"blastula 512-cell"
<http://www.ebi.ac.uk/efo/EFO_0001280>	"blastula high"
<http://www.ebi.ac.uk/efo/EFO_0001283>	"blastula sphere"
<http://www.ebi.ac.uk/efo/EFO_0001277>	"blastula 30%-epiboly"
<http://purl.obolibrary.org/obo/UBERON_0000112>	"sexually immature stage"
<http://www.ebi.ac.uk/efo/EFO_0001302>	"juvenile days 45-89"
<http://www.ebi.ac.uk/efo/EFO_0001301>	"juvenile days 30-44"
<http://purl.obolibrary.org/obo/UBERON_0007220>	"late embryonic stage"
<http://www.ebi.ac.uk/efo/EFO_0002544>	"plasmodium parasite stage"
<http://www.ebi.ac.uk/efo/EFO_0002592>	"trophozoite"
<http://www.ebi.ac.uk/efo/EFO_0002591>	"erythrocytic schizont"
<http://www.ebi.ac.uk/efo/EFO_0002590>	"ring stage trophozoite"
<http://www.ebi.ac.uk/efo/EFO_0002589>	"hepatic schizont"
<http://www.ebi.ac.uk/efo/EFO_0002683>	"floral transition"
